pname,pdesc,Upc,Sku,Price,Uom,Pack,pcat,pcat1,pcat2,country,region
CROFT TAWNY PORTO                                           ,CROFT TAWNY PORTO,084692616879   ,11780,21.99,750 M,1,IMPORTED - PORTUGAL      , , , , 
KORBEL - PROSECCO                                           ,KORBEL - PROSECCO,084704010695   ,11782,14.99,750 M,1,IMPORTED - ITALY         , , , , 
KORBEL BRUT                                                 ,KORBEL BRUT,084704091328   ,11783,12.97,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
KORBEL EXTRA DRY                                            ,KORBEL EXTRA DRY,084704091472   ,11784,12.97,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
E & J  VSOP                                                 ,E & J  VSOP,085000003930   ,11788,24.99,1.75 ,1,BRANDY                   , , , , 
E & J  VS                                                   ,E & J  VS,085000004210   ,11789,3.99,200 M,1,HALF PINTS               , , , , 
CARLO ROSSI CHABLIS                                         ,CARLO ROSSI CHABLIS,085000007044   ,11795,8.99,1.5 L,1,DOMESTIC - CALIFORNIA    , , , , 
ANDRE EXTRA DRY                                             ,ANDRE EXTRA DRY,085000007488   ,11796,7.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
CARLO ROSSI CHIANTI                                         ,CARLO ROSSI CHIANTI,085000010235   ,11801,17.99,4 LT ,1,DOMESTIC - CALIFORNIA    , , , , 
WHITEHAVEN - SAUVIGNON BLANC                                ,WHITEHAVEN - SAUVIGNON BLANC,085000012017   ,11803,17.99,750 M,1,IMPORTED - NEW ZEALAND   , , , , 
ANDRE COLD DUCK                                             ,ANDRE COLD DUCK,085000012680   ,11806,7.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
E & J  XO                                                   ,E & J  XO,085000013908   ,11809,14.99,750 M,1,BRANDY                   , , , , 
NEW AMSTERDAM GIN                                           ,NEW AMSTERDAM GIN,085000014301   ,11810,24.99,1.75 ,1,GIN                      , , , , 
BAREFOOT PINOT GRIGIO                                       ,BAREFOOT PINOT GRIGIO,085000014448   ,11813,7.49,750 M,1,FAMILY WINE              , , , , 
CARLO ROSSI MERLOT                                          ,CARLO ROSSI MERLOT,085000014479   ,11814,18.99,4 LT ,1,DOMESTIC - CALIFORNIA    , , , , 
BAREFOOT MOSCATO                                            ,BAREFOOT MOSCATO,085000016671   ,11817,11.99,1.5 L,1,FAMILY WINE              , , , , 
CAMARENA SILVER                                             ,CAMARENA SILVER,085000016824   ,11819,22.99,750 M,1,TEQUILA                  , , , , 
MADRIA SANDRIA                                              ,MADRIA SANDRIA,085000016916   ,11820,9.99,1.5 L,1,DOMESTIC - CALIFORNIA    , , , , 
NEW AMSTERDAM GIN                                           ,NEW AMSTERDAM GIN,085000017227   ,11822,14.99,750 M,1,GIN                      , , , , 
CAMARENA REPOSADO                                           ,CAMARENA REPOSADO,085000017302   ,11823,39.99,1.75 ,1,TEQUILA                  , , , , 
CAMARENA REPOSADO                                           ,CAMARENA REPOSADO,085000017326   ,11824,22.99,750 M,1,TEQUILA                  , , , , 
LA MARCA - PROSECCO                                         ,LA MARCA - PROSECCO,085000017739   ,11826,16.98,750 M,1,IMPORTED - ITALY         , , , , 
ALAMOS - MALBEC                                             ,ALAMOS - MALBEC,085000018194   ,11827,14.99,750 M,1,IMPORTED - ARGENTINA     , , , , 
BAREFOOT SWEET RED                                          ,BAREFOOT SWEET RED,085000018682   ,11829,11.99,1.5 L,1,FAMILY WINE              , , , , 
E & J  XO                                                   ,E & J  XO,085000018828   ,11830,23.99,1.75 ,1,BRANDY                   , , , , 
NEW AMSTERDAM VODKA                                         ,NEW AMSTERDAM VODKA,085000019498   ,11833,14.99,750 M,1,VODKA                    , , , , 
NEW AMSTERDAM VODKA                                         ,NEW AMSTERDAM VODKA,085000019511   ,11834,21.99,1.75 ,1,VODKA                    , , , , 
MADRIA SANGRIA MOSCATO                                      ,MADRIA SANGRIA MOSCATO,085000020005   ,11838,9.99,1.5 L,1,DOMESTIC - CALIFORNIA    , , , , 
BAREFOOT RED MOSCATO                                        ,BAREFOOT RED MOSCATO,085000020289   ,11840,11.99,1.5 L,1,FAMILY WINE              , , , , 
BAREFOOT PINK MOSCATO                                       ,BAREFOOT PINK MOSCATO,085000020456   ,11848,7.49,750 M,1,FAMILY WINE              , , , , 
BAREFOOT PINK MOSCATO                                       ,BAREFOOT PINK MOSCATO,085000020609   ,11853,11.99,1.5 L,1,FAMILY WINE              , , , , 
WILLIAM HILL - CHARDONNAY                                   ,WILLIAM HILL - CHARDONNAY,085000021590   ,11858,14.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
NEW AMSTERDAM COCONUT                                       ,NEW AMSTERDAM COCONUT,085000021699   ,11862,21.99,1.75 ,1,VODKA                    , , , , 
ANDRE MOSCATO                                               ,ANDRE MOSCATO,085000022269   ,11865,7.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
NEW AMSTERDAM PINEAPPLE                                     ,NEW AMSTERDAM PINEAPPLE,085000022337   ,11870,21.99,1.75 ,1,VODKA                    , , , , 
LA MARCA - PROSECCO                                         ,LA MARCA - PROSECCO,085000022849   ,11872,29.99,1.5 L,1,IMPORTED - ITALY         , , , , 
BAREFOOT BOX - CAB                                          ,BAREFOOT BOX - CAB,085000022948   ,11874,18.49,3 LT ,1,BOX WINE                 , , , , 
BAREFOOT BOX - PINOT GRIGIO                                 ,BAREFOOT BOX - PINOT GRIGIO,085000022955   ,11875,18.49,3 LT ,1,BOX WINE                 , , , , 
GALLO FAMILY SWEET WINES                                    ,GALLO FAMILY SWEET WINES,085000022986   ,11876,4.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
APOTHIC - CRUSH                                             ,APOTHIC - CRUSH,085000023488   ,11884,11.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
ANDRE BRUT ROSE                                             ,ANDRE BRUT ROSE,085000025246   ,11891,7.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
DARK HORSE - BRUT                                           ,DARK HORSE - BRUT,085000025321   ,11892,10.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
BAREFOOT BOX - MOSCATO                                      ,BAREFOOT BOX - MOSCATO,085000026083   ,11897,18.49,3 LT ,1,BOX WINE                 , , , , 
DARK HORSE - ROSE CAN                                       ,DARK HORSE - ROSE CAN,085000027134   ,11901,5.49,375 M,1,PINTS                    , , , , 
DARK HORSE - PINOT GRIGIO CAN                               ,DARK HORSE - PINOT GRIGIO CAN,085000027141   ,11902,5.49,375 M,1,PINTS                    , , , , 
BAREFOOT BOX - PINOT NOIR                                   ,BAREFOOT BOX - PINOT NOIR,085000028551   ,11906,18.49,3 LT ,1,BOX WINE                 , , , , 
BAREFOOT BOX - RED SANGRIA                                  ,BAREFOOT BOX - RED SANGRIA,085000028568   ,11907,18.49,3 LT ,1,BOX WINE                 , , , , 
BAREFOOT FMOSCATO - PEACH                                   ,BAREFOOT FMOSCATO - PEACH,085000029008   ,11909,7.49,750 M,1,DOMESTIC                 , , , , 
BAREFOOT FMOSCATO - STRAWBERRY                              ,BAREFOOT FMOSCATO - STRAWBERRY,085000029015   ,11910,7.49,750 M,1,DOMESTIC                 , , , , 
BAREFOOT FMOSCATO - APPLE                                   ,BAREFOOT FMOSCATO - APPLE,085000029022   ,11911,7.49,750 M,1,DOMESTIC                 , , , , 
NEW AMSTERDAM - PINK WHITNEY                                ,NEW AMSTERDAM - PINK WHITNEY,085000029626   ,11912,15.99,750 M,1,VODKA                    , , , , 
HIGH NOON - VARIETY PACK 12 PK                              ,HIGH NOON - VARIETY PACK 12 PK,085000029862   ,11913,26.99,12 OZ,1,RTD COCKTAILS            , , , , 
BAREFOOT FMOSCATO - WATERMELON                              ,BAREFOOT FMOSCATO - WATERMELON,085000029923   ,11914,7.49,750 M,1,DOMESTIC                 , , , , 
HIGH NOON - VARIETY PACK #1                                 ,HIGH NOON - VARIETY PACK #1,085000031513   ,11921,19.99,12 OZ,1,RTD COCKTAILS            , , , , 
BAREFOOT FMOSCATO - MANGO                                   ,BAREFOOT FMOSCATO - MANGO,085000032176   ,11923,7.49,750 M,1,DOMESTIC                 , , , , 
LA MARCA - ROSE                                             ,LA MARCA - ROSE,085000032442   ,11924,16.99,750 M,1,IMPORTED - ITALY         , , , , 
HIGH NOON - VARIETY PACK #2 TROPICAL                        ,HIGH NOON - VARIETY PACK #2 TROPICAL,085000032558   ,11925,19.99,12 OZ,1,RTD COCKTAILS            , , , , 
CARLO ROSSI BOX - WATERMELON                                ,CARLO ROSSI BOX - WATERMELON,085000032732   ,11926,14.99,3 LT ,1,BOX WINE                 , , , , 
CARLO ROSSI BOX - PEACH                                     ,CARLO ROSSI BOX - PEACH,085000032749   ,11927,14.99,3 LT ,1,BOX WINE                 , , , , 
BAREFOOT FMOSCATO - PINEAPPLE                               ,BAREFOOT FMOSCATO - PINEAPPLE,085000033319   ,11929,7.49,750 M,1,DOMESTIC                 , , , , 
HIGH NOON - VARIETY PACK #3 POOL PACK                       ,HIGH NOON - VARIETY PACK #3 POOL PACK,085000034293   ,11930,19.99,12 OZ,1,RTD COCKTAILS            , , , , 
PROPHECY WINES - SAUV BLANC                                 ,PROPHECY WINES - SAUV BLANC,085000228203   ,11931,5.99,250ML,1,IMPORTED - NEW ZEALAND   , , , , 
PROPHECY WINES - ROSE                                       ,PROPHECY WINES - ROSE,085000228210   ,11932,5.99,250ML,1,IMPORTED - NEW ZEALAND   , , , , 
LA MARCA - PROSECCO                                         ,LA MARCA - PROSECCO,085000322437   ,11935,16.99,187 M,1,IMPORTED - ITALY         , , , , 
BAREFOOT SPRITZER - SUMMER RED                              ,BAREFOOT SPRITZER - SUMMER RED,085000423875   ,11936,7.99,250ML,1,FAMILY WINE              , , , , 
BAREFOOT SPRITZER - CRISP WHIT                              ,BAREFOOT SPRITZER - CRISP WHIT,085000423882   ,11937,7.99,250ML,1,FAMILY WINE              , , , , 
BAREFOOT SPRITZER - MOSCATO                                 ,BAREFOOT SPRITZER - MOSCATO,085000424988   ,11938,7.99,250ML,1,FAMILY WINE              , , , , 
HIGH NOON - WATERMELON                                      ,HIGH NOON - WATERMELON,085000429259   ,11943,10.99,12 OZ,1,RTD COCKTAILS            , , , , 
HIGH NOON - PINEAPPLE                                       ,HIGH NOON - PINEAPPLE,085000429266   ,11944,10.99,12 OZ,1,RTD COCKTAILS            , , , , 
