StoreId,Upc,Qty,Sku,Uom,Pack,StoreProductName,StoreDescription,Price,Sprice,Start,End,Tax,TaxLevel,Altupc1,Altupc2,Altupc3,Altupc4,Altupc5,Vintage,Cost,Deposit
10128,#081308004419   ,38,#15410,750 M,1,IMAGERY - CHARDONNAY                                        ,IMAGERY - CHARDONNAY,12.970,0.0000, , ,0.04000,1, , , , , ,,41.81,0
10128,#088004040741   ,2,#15411,750 M,1,FIREBALL - PONG PACK                                        ,FIREBALL - PONG PACK,19.990,0.0000, , ,0.04000,1, , , , , ,,41.97,0
10128,#086785213002   ,18,#15412,750 M,1,ROSCATO - MOSCATO                                           ,ROSCATO - MOSCATO,11.970,0.0000, , ,0.04000,1, , , , , ,,104,0
10128,#815970020381   ,1,#15414,PK   ,1,TWISTED HEMP WRAPS                                          ,TWISTED HEMP WRAPS,2.490,0.0000, , ,0,2,#815970020343   , , , , ,,1,0
10128,#088110150587   ,6,#15416,1.75L,1,HENNESSY  VS                                                ,HENNESSY  VS,94.990,0.0000, , ,0.04000,1, , , , , ,,498.56,0
10128,#087692013280   ,18,#15426,12 OZ,1,ANGRY ORCHARD - TROPICAL                                    ,ANGRY ORCHARD - TROPICAL,12.990,0.0000, , ,0.04000,1, , , , , ,,34,0
10128,#051497029661   ,3,#15427,750 M,1,TEN TO ONE DARK RUM                                         ,TEN TO ONE DARK RUM,39.990,0.0000, , ,0.04000,1, , , , , ,,174,0
10128,#628451773108   ,4,#15434,750 M,1,EMPRESS GIN                                                 ,EMPRESS GIN,39.990,0.0000, , ,0.04000,1, , , , , ,,127.5,0
10128,#811538010825   ,3,#15435,1 L  ,1,JOSE CUERVO SILVER                                          ,JOSE CUERVO SILVER,24.990,0.0000, , ,0.04000,1, , , , , ,,221.67,0
10128,#012354007666   ,0,#15440,750 M,1,19 CRIMES - CALI GOLD                                       ,19 CRIMES - CALI GOLD,16.990,0.0000, , ,0.04000,1, , , , , ,,128,0
10128,#850001901154   ,3,#15443,750 M,1,WHISTLEPIG - 18 YR DOUBLE MALT                              ,WHISTLEPIG - 18 YR DOUBLE MALT,599.990,0.0000, , ,0.04000,1, , , , , ,,900,0
10128,#617768291177   ,5,#15445,1.75 ,1,SVEDKA - CHERRY LIMEADE                                     ,SVEDKA - CHERRY LIMEADE,17.990,0.0000, , ,0.04000,1, , , , , ,,104.94,0
10128,#080660010700   ,309,#15446,50 ml,1,99 PINEAPPLE                                                ,99 PINEAPPLE,1.250,0.0000, , ,0.04000,1,#088004057879   , , , , ,,66.19,0
10128,#850003560441   ,110,#15447,500ml,1,PRIME HYD - TROPICAL PUNCH                                  ,PRIME HYD - TROPICAL PUNCH,3.690,0.0000, , ,0.04000,3, , , , , ,,21.69,0
10128,#850040427080   ,48,#15448,500ml,1,PRIME HYD - ICE POP                                         ,PRIME HYD - ICE POP,3.690,0.0000, , ,0.04000,3, , , , , ,,21.69,0
10128,#850003560458   ,53,#15449,500ml,1,PRIME HYD - BLUE RASPBERRY                                  ,PRIME HYD - BLUE RASPBERRY,3.690,0.0000, , ,0.04000,3, , , , , ,,21.69,0
10128,#850040427103   ,57,#15450,500ml,1,PRIME HYD - META MOON                                       ,PRIME HYD - META MOON,3.690,0.0000, , ,0.04000,3, , , , , ,,21.69,0
10128,#086785120690   ,2,#15452,750 M,1,BERTANI - VALPOLICELLA                                      ,BERTANI - VALPOLICELLA,19.990,0.0000, , ,0.04000,1, , , , , ,,132,0
10128,#086785415284   ,6,#15453,750 M,1,FONTANAFREDDA - BOROLO                                      ,FONTANAFREDDA - BOROLO,59.990,0.0000, , ,0.04000,1, , , , , ,,228,0
10128,#722358007578   ,34,#15454,750 M,1,SAGET LA PETITE PERRIERE - SAUVIGNON BLANC                  ,SAGET LA PETITE PERRIERE - SAUVIGNON BLANC,9.970,0.0000, , ,0.04000,1, , , , , ,,80.57,0
10128,#086785560014   ,14,#15455,750 M,1,TRIMBACH - PINOT BLANC                                      ,TRIMBACH - PINOT BLANC,19.990,0.0000, , ,0.04000,1, , , , , ,,144,0
10128,#080480985820   ,5,#15457,50 ML,1,DEWARS - 18 YR                                              ,DEWARS - 18 YR,5.990,0.0000, , ,0.04000,1, , , , , ,,0.0000,0
10128,#080480985783   ,9,#15458,50 ML,1,DEWARS - 15 YR                                              ,DEWARS - 15 YR,3.490,0.0000, , ,0.04000,1, , , , , ,,1.6,0
10128,#016600001880   ,6,#15459,12 OZ,1,ROSE'S STRAWBERRY SYRUP                                     ,ROSE'S STRAWBERRY SYRUP,4.990,0.0000, , ,0.04000,1, , , , , ,,9.87,0
10128,#018200008016   ,1,#15467,12 OZ,24,BUSCH LIGHT                                                 ,BUSCH LIGHT,13.990,0.0000, , ,0.04000,1, , , , , ,,21.39,1.20
