StoreId,Upc,Qty,Sku,Uom,Pack,StoreProductName,StoreDescription,Price,Sprice,Start,End,Tax,Altupc1,Altupc2,Altupc3,Altupc4,Altupc5,Vintage,Cost,Deposit,Discountable
10128,#080157311648   ,8,#15910,16 oz,1,PAULANER - MUNCHNER LAGER                                   ,PAULANER - MUNCHNER LAGER,10.79,0.0000, , ,0.0625, , , , , ,,43.2,1.20,0
10128,#080157112641   ,0,#15911,16 oz,1,PAULANER - HEFE-WEIZEN                                      ,PAULANER - HEFE-WEIZEN,10.79,0.0000, , ,0.0625, , , , , ,,43.2,1.20,0
10128,#087692006701   ,24,#15912,12 OZ,1,TWISTED TEA LIGHT CN                                        ,TWISTED TEA LIGHT CN,17.99,0.0000, , ,0.0625, , , , , ,,27.2,1.20,0
10128,#787790083788   ,1,#15913,20 oz,1,NSB - SANTILLI IPA                                          ,NSB - SANTILLI IPA,3.7,0.0000, , ,0.0625, , , , , ,,31.7,0.75,0
10128,#028400712996   ,0,#15917,EACH ,1,JACK LINK'S STEAK BITES ORIGINAL                            ,JACK LINK'S STEAK BITES ORIGINAL,3.99,0.0000, , ,0.0625, , , , , ,,23.9,0,0
10128,#028400713009   ,0,#15918,EACH ,1,JACK LINK'S STEAK BITES TERIYAKI                            ,JACK LINK'S STEAK BITES TERIYAKI,3.99,0.0000, , ,0.0625, , , , , ,,23.9,0,0
10128,#850009426093   ,0,#15919,16 OZ,1,PROGRESSION - RIPE DOSE DDH IMP NEIPA                       ,PROGRESSION - RIPE DOSE DDH IMP NEIPA,19.79,0.0000, , ,0.0625, , , , , ,,81,1.20,1
10128,#196852084098   ,20,#15920,12 oz,1,COD'R - MERMAID'S TALE - WATERMELON TEQUILA                 ,COD'R - MERMAID'S TALE - WATERMELON TEQUILA,12.99,0.0000, , ,0.0625, , , , , ,,49.5,1.20,0
10128,#051497384883   ,0,#15921,16 OZ,1,DORCHESTER - OUTER LIMITS NEIPA                             ,DORCHESTER - OUTER LIMITS NEIPA,17.79,0.0000, , ,0.0625, , , , , ,,61.75,1.20,1
10128,#051497235925   ,16,#15922,16 OZ,1,DORCHESTER - NEPONSET GOLD - GOLDEN ALE                     ,DORCHESTER - NEPONSET GOLD - GOLDEN ALE,12.99,0.0000, , ,0.0625, , , , , ,,51,1.20,1
10128,#031259003726   ,19,#15925,750 M,1,JOSH CELLARS - PROSECCO                                     ,JOSH CELLARS - PROSECCO,14.97,0.0000, , ,0.0625, , , , , ,,164,0,0
10128,#850025605182   ,128,#15926,12 OZ,1,STATESIDE VODKA SODA MIX PACK                               ,STATESIDE VODKA SODA MIX PACK,19.99,0.0000, , ,0.0625, , , , , ,,35.17,0,0
10128,#850025605564   ,192,#15927,12 OZ,1,SURFSIDE STARTER MIX PACK                                   ,SURFSIDE STARTER MIX PACK,19.99,0.0000, , ,0.0625, , , , , ,,39.2,0,0
10128,#857674007947   ,2,#15928,200 M,1,BUZZ BALLZ CHILL - ESPRESSO MARTINI                         ,BUZZ BALLZ CHILL - ESPRESSO MARTINI,3.29,0.0000, , ,0.0625, , , , , ,,1,0,0
10128,#072890001610   ,3,#15929,12 OZ,24,HEINEKEN LIGHT LOOSE                                        ,HEINEKEN LIGHT LOOSE,29.99,0.0000, , ,0.0625, , , , , ,,27,1.20,0
10128,#072890006660   ,102,#15931,12 OZ,1,HEINEKEN SILVER BTL                                         ,HEINEKEN SILVER BTL,17.99,0.0000, , ,0.0625,#072890006745   , , , , ,,28.6,1.20,0
10128,#071990170370   ,3,#15932,12 OZ,24,COORS BANQUET BTL                                           ,COORS BANQUET BTL,14.99,0.0000, , ,0.0625, , , , , ,,22.4,1.20,0
10128,#816751023539   ,48,#15935,200ml,1,CUTWATER - MARGARITA PACK                                   ,CUTWATER - MARGARITA PACK,24.99,0.0000, , ,0.0625, , , , , ,,39,0,0
10128,#041827004741   ,84,#15937,12 OZ,1,HARPOON - AMERI FLYER LAGER CN                              ,HARPOON - AMERI FLYER LAGER CN,18.39,0.0000, , ,0.0625, , , , , ,,25.5,1.20,0
10128,#041827004840   ,24,#15938,12 OZ,1,HARPOON - AMERI FLYER LIGHT CN                              ,HARPOON - AMERI FLYER LIGHT CN,18.39,0.0000, , ,0.0625, , , , , ,,25.5,1.20,0
10128,#041827004864   ,30,#15939,12 OZ,1,HARPOON - AMERI FLYER LIGHT BTL HLDR                        ,HARPOON - AMERI FLYER LIGHT BTL HLDR,10.69,0.0000, , ,0.0625, , , , , ,,26.85,1.20,0
10128,#619317682740   ,0,#15940,16 OZ,1,BAREWOF - STRANGERS IN THE ALPS PILSNER                     ,BAREWOF - STRANGERS IN THE ALPS PILSNER,17.79,0.0000, , ,0.0625, , , , , ,,65,1.20,1
10128,#752830232884   ,0,#15941,16 OZ,1,LONE PINE - HOLY DONUT SOUR ALE                             ,LONE PINE - HOLY DONUT SOUR ALE,24.79,0.0000, , ,0.0625, , , , , ,,89,1.20,1
10128,#082000801986   ,32,#15943,12 OZ,1,LOYAL - MARGARITA                                           ,LOYAL - MARGARITA,12.99,0.0000, , ,0.0625, , , , , ,,53.96,1.20,0
10128,#816751022563   ,0,#15944,12 OZ,1,CUTWATER - VODKA GRAPE TRANSFUSION                          ,CUTWATER - VODKA GRAPE TRANSFUSION,14.99,0.0000, , ,0.0625, , , , , ,,59.64,0,0
10128,#860007994142   ,0,#15945,12 OZ,1,THE LONG DRINK - MIDSUMMER VARIETY PACK                     ,THE LONG DRINK - MIDSUMMER VARIETY PACK,24.99,0.0000, , ,0.0625, , , , , ,,47.37,1.20,0
10128,#850046522178   ,48,#15946,12 OZ,1,HAPPY MOM - RASPBERRY                                       ,HAPPY MOM - RASPBERRY,19.39,0.0000, , ,0.0625, , , , , ,,30,1.20,0
10128,#856544007513   ,0,#15947,16 OZ,1,LORD HOBO - GALACTIC VAGABOND DIPA                          ,LORD HOBO - GALACTIC VAGABOND DIPA,19.79,0.0000, , ,0.0625, , , , , ,,75.5,1.20,1
10128,#087692017417   ,24,#15948,12 OZ,1,TRULY VODKA SELTZ - MANGO                                   ,TRULY VODKA SELTZ - MANGO,10.99,0.0000, , ,0.0625, , , , , ,,43,0,0
10128,#087692017486   ,56,#15949,12 OZ,1,TRULY VODKA SELTZ - PARADISE PACK                           ,TRULY VODKA SELTZ - PARADISE PACK,18.99,0.0000, , ,0.0625, , , , , ,,41,0,0
10128,#087692017424   ,64,#15950,12 OZ,1,TRULY VODKA SELTZ - CLASSIC PACK                            ,TRULY VODKA SELTZ - CLASSIC PACK,18.99,0.0000, , ,0.0625, , , , , ,,41,0,0
10128,#858612003809   ,0,#15951,12 OZ,1,DOWNEAST - LEMONADE EXTRA HARD                              ,DOWNEAST - LEMONADE EXTRA HARD,10.99,0.0000, , ,0.0625, , , , , ,,42,1.20,0
10128,#082242017633   ,3,#15952,3 LT ,1,BOTA BOX BREEZE - CHARDONNAY                                ,BOTA BOX BREEZE - CHARDONNAY,21.99,17.99, ,/ /,0.0625, , , , , ,,53.5,0,0
10128,#082242014434   ,11,#15953,750 M,1,1924 - DBL BLK CABERNET SAUVIGNON                           ,1924 - DBL BLK CABERNET SAUVIGNON,10.97,0.0000, , ,0.0625, , , , , ,,96,0,0
10128,#080686345206   ,8,#15955,1 LT ,1,DEKUYPER MELON LIQUEUR                                      ,DEKUYPER MELON LIQUEUR,14.99,0.0000, , ,0.0625, , , , , ,,126,0,0
10128,#087241880950   ,111,#15956,187ml,1,MEZZACORONA PINOT GRIGIO                                    ,MEZZACORONA PINOT GRIGIO,10.99,0.0000, , ,0.0625, , , , , ,,60,0,0
10128,#089540536286   ,120,#15957,12 OZ,1,MALIBU RTD - VARIETY PACK                                   ,MALIBU RTD - VARIETY PACK,14.99,0.0000, , ,0.0625, , , , , ,,29.96,1.20,0
10128,#860006644680   ,16,#15958,8 oz ,1,OWEN'S GINGER BEER                                          ,OWEN'S GINGER BEER,7.99,0.0000, , ,0.0625, , , , , ,,1,1.20,0
10128,#849806004924   ,32,#15959,12 OZ,1,MAMITAS - HARD SETZER VR #2 COCKTAIL PACK                   ,MAMITAS - HARD SETZER VR #2 COCKTAIL PACK,21.99,0.0000, , ,0.0625, , , , , ,,47.75,1.20,0
10128,#853915008995   ,5,#15960,750ml,1,OLE SMOKY - BANANA PUDDING                                  ,OLE SMOKY - BANANA PUDDING,26.99,0.0000, , ,0.0625, , , , , ,,113.47,0,0
10128,#810088370267   ,11,#15961,750 M,1,OLE SMOKY - PINEAPPLES                                      ,OLE SMOKY - PINEAPPLES,26.99,0.0000, , ,0.0625, , , , , ,,107.36,0,0
10128,#853915008797   ,10,#15962,750ml,1,OLE SMOKY - STRAWBERRY CREAM                                ,OLE SMOKY - STRAWBERRY CREAM,26.99,0.0000, , ,0.0625, , , , , ,,42.65,0,0
10128,#854628006728   ,8,#15963,750ml,1,OLE SMOKY - BUTTER PECAN                                    ,OLE SMOKY - BUTTER PECAN,26.99,0.0000, , ,0.0625, , , , , ,,125.96,0,0
10128,#854628006131   ,4,#15965,750 M,1,OLE SMOKY - SALTY CARAMEL                                   ,OLE SMOKY - SALTY CARAMEL,21.99,0.0000, , ,0.0625, , , , , ,,95.96,0,0
10128,#052000049008   ,35,#15967,32 OZ,1,GATORLYTE - CHERRY LIME                                     ,GATORLYTE - CHERRY LIME,3.49,0.0000, , ,0.0625, , , , , ,,31.32,0,0
10128,#052000047912   ,36,#15968,32 OZ,1,GATORLYTE - STRAWBERRY KIWI                                 ,GATORLYTE - STRAWBERRY KIWI,3.49,0.0000, , ,0.0625, , , , , ,,31.32,0,0
10128,#052000047905   ,31,#15969,32 OZ,1,GATORLYTE - ORANGE                                          ,GATORLYTE - ORANGE,3.49,0.0000, , ,0.0625, , , , , ,,31.32,0,0
10128,#052000052862   ,36,#15970,32 OZ,1,GATORLYTE ZERO - LEMON                                      ,GATORLYTE ZERO - LEMON,3.49,0.0000, , ,0.0625, , , , , ,,31.32,0,0
10128,#052000052855   ,25,#15971,32 OZ,1,GATORLYTE ZERO - STRAWBERRY KIWI                            ,GATORLYTE ZERO - STRAWBERRY KIWI,3.49,0.0000, , ,0.0625, , , , , ,,31.32,0,0
10128,#782860412222   ,0,#15974,12 OZ,1,THE COPPER CAN - BLACKBERRY MULE                            ,THE COPPER CAN - BLACKBERRY MULE,17.99,0.0000, , ,0.0625, , , , , ,,72,1.20,0
10128,#089000500116   ,1,#15975,1.75 ,1,CHI-CHI - MAI TAI                                           ,CHI-CHI - MAI TAI,11.49,0.0000, , ,0.0625, , , , , ,,50.88,0,0
10128,#721733005949   ,2,#15976,750 M,1,PATRON - EL CIELO                                           ,PATRON - EL CIELO,139.99,0.0000, , ,0.0625, , , , , ,,557.94,0,0
10128,#850028871263   ,60,#15977,12 OZ,1,BOB - BASIC                                                 ,BOB - BASIC,11.79,8.89, ,/ /,0.0625, , , , , ,,47,1.20,0
10128,#850028871256   ,32,#15978,12 OZ,1,BOB - GINGER                                                ,BOB - GINGER,11.79,8.89, ,/ /,0.0625, , , , , ,,47,1.20,0
10128,#850028871270   ,16,#15979,12 OZ,1,BOB - ON THE BEACH                                          ,BOB - ON THE BEACH,11.79,8.89, ,/ /,0.0625, , , , , ,,47,1.20,0
10128,#850028871287   ,64,#15980,12 OZ,1,BOB - A-RITA                                                ,BOB - A-RITA,11.79,8.89, ,/ /,0.0625, , , , , ,,47,1.20,0
10128,#080686021148   ,23,#15981,750 M,1,JIM BEAM - PEACH                                            ,JIM BEAM - PEACH,19.99,0.0000, , ,0.0625, , , , , ,,191.93,0,0
10128,#08212418       ,0,#15982,187 M,1,J ROGET - BRUT                                              ,J ROGET - BRUT,2.25,0.0000, , ,0.0625, , , , , ,,36,0,0
10128,#839131000616   ,83,#15983,750 M,1,BARTOLOMEO - PROSECCO                                       ,BARTOLOMEO - PROSECCO,11.99,0.0000, , ,0.0625, , , , , ,,96,0,0
10128,#000004159841   ,4,#15984,16 OZ,1,MIGHTY SQUIRREL - FLUFF THE MAGIC DRAGON                    ,MIGHTY SQUIRREL - FLUFF THE MAGIC DRAGON,19.79,0.0000, , ,0.0625,#051497052706   , , , , ,,75.5,1.20,1
10128,#850113006235   ,0,#15985,16 OZ,1,ZERO GRAVITY - MADONNA IIPA                                 ,ZERO GRAVITY - MADONNA IIPA,16.99,0.0000, , ,0.0625, , , , , ,,62,1.20,1
10128,#080480986261   ,36,#15986,12 oz,1,BACARDI RTD CN - BAHAMA MAMA                                ,BACARDI RTD CN - BAHAMA MAMA,13.99,0.0000, , ,0.0625, , , , , ,,58.14,1.20,0
